indicator,type,topic,description,response,year,respondent_group,sample_size,result,format
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,25-34 years,458,75.1,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,55-64 years,112,73.8,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,Male,558,75.0,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,Carlton 3053,170,74.9,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,East Melbourne 3002,86,77.6,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,Kensington / Flemington 3031,114,75.3,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,South Wharf / Southbank 3006,163,73.5,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,18-24 years,397,66.9,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,35-44 years,229,71.6,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,45-54 years,121,71.4,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,55-64 years,112,76.1,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,South Wharf / Southbank 3006,163,69.7,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,North Melbourne 3051 / West Melbourne 3003,235,69.1,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,18-24 years,397,78.2,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,25-34 years,458,79.0,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,45-54 years,121,79.8,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,Male,558,80.5,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,City of Melbourne,1444,79.3,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,Docklands 3008,116,80.1,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,North Melbourne 3051 / West Melbourne 3003,235,78.1,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,Parkville 3052,93,82.3,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,116,81.4,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,18-24 years,397,63.9,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,25-34 years,458,64.2,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,Female,865,65.7,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,Male,558,64.7,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,City of Melbourne,1444,65.1,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,Kensington / Flemington 3031,114,70.9,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,Parkville 3052,93,67.5,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,45-54 years,121,68.8,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,Male,558,68.0,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,Docklands 3008,116,70.3,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,Kensington / Flemington 3031,114,71.1,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,Parkville 3052,93,703.0,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,South Wharf / Southbank 3006,163,66.5,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,116,67.6,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,25-34 years,472,72.4,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,Female,896,71.8,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,North Melbourne 3051 / West Melbourne 3003,241,67.7,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,Parkville 3052,96,71.3,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,South Wharf / Southbank 3006,169,75.0,Average
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,18-24 years,406,18.0,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,55-64 years,118,8.0,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,Male,582,16.2,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,Kensington / Flemington 3031,119,9.5,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,Melbourne 3000,358,17.6,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,18-24 years,413,19.5,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,25-34 years,470,13.6,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,45-54 years,121,4.8,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,55-64 years,117,0.4,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,65+ years,133,0.2,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,Melbourne 3000,361,11.0,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,Parkville 3052,96,14.5,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,55-64 years,114,52.2,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,Female,842,44.7,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,East Melbourne 3002,87,62.8,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,North Melbourne 3051 / West Melbourne 3003,228,43.3,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,18-24 years,411,97.3,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,65+ years,133,77.7,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,City of Melbourne,1496,94.2,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,55-64 years,118,34.3,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,65+ years,132,40.6,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,Kensington / Flemington 3031,121,35.4,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,124,20.8,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,25-34 years,461,15.6,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,Female,877,20.0,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,Melbourne 3000,353,22.2,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,35-44 years,238,15.6,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,55-64 years,118,8.9,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,65+ years,133,1.7,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,City of Melbourne,1508,17.7,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,Kensington / Flemington 3031,121,18.7,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,16.0,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,25-34 years,473,73.9,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,45-54 years,122,64.4,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,City of Melbourne,1508,71.0,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,Docklands 3008,125,60.2,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,Kensington / Flemington 3031,121,62.7,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,Parkville 3052,96,81.0,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,South Wharf / Southbank 3006,169,67.3,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,18-24 years,382,95.5,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,25-34 years,448,94.4,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,55-64 years,115,88.4,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,Female,851,95.4,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,North Melbourne 3051 / West Melbourne 3003,234,98.0,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,South Wharf / Southbank 3006,161,87.4,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,118,95.6,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,18-24 years,417,64.9,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,25-34 years,473,54.7,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,65+ years,133,68.8,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,Female,897,63.3,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,Parkville 3052,96,62.5,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,65+ years,133,0.0,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,Carlton 3053,176,11.0,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,Docklands 3008,125,9.4,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,Melbourne 3000,363,6.3,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,25-34 years,473,68.2,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,45-54 years,122,63.5,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,55-64 years,118,54.1,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,Carlton 3053,176,64.2,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,City of Melbourne,1508,65.7,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,Docklands 3008,125,67.8,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,Melbourne 3000,363,62.8,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,South Wharf / Southbank 3006,169,68.9,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,18-24 years,417,62.1,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,25-34 years,473,58.2,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,Male,588,62.9,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,Carlton 3053,176,54.8,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,Melbourne 3000,363,57.7,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,45-54 years,122,15.3,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,55-64 years,118,15.2,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,65+ years,133,15.9,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,Male,588,26.0,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,Carlton 3053,176,21.2,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,Docklands 3008,125,24.1,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,North Melbourne 3051 / West Melbourne 3003,242,20.1,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,South Wharf / Southbank 3006,169,18.0,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,18-24 years,417,10.7,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,25-34 years,473,9.1,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,35-44 years,238,8.9,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,Female,897,8.0,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,Male,588,10.3,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,Carlton 3053,176,5.8,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,City of Melbourne,1508,9.0,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,Kensington / Flemington 3031,121,10.0,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,45-54 years,122,7.3,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,65+ years,133,9.3,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,Female,897,6.6,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,Carlton 3053,176,12.4,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,Docklands 3008,125,14.6,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,Melbourne 3000,363,8.3,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,18-24 years,417,54.3,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,35-44 years,238,44.1,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,45-54 years,122,48.3,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,Female,897,48.1,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,Male,588,54.4,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,Carlton 3053,176,52.3,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,Docklands 3008,125,45.8,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,East Melbourne 3002,91,63.8,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,North Melbourne 3051 / West Melbourne 3003,242,48.9,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,Parkville 3052,96,50.9,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,South Wharf / Southbank 3006,169,51.8,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,47.5,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,18-24 years,417,32.1,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,45-54 years,122,53.1,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,55-64 years,118,55.2,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,City of Melbourne,1508,41.2,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,Kensington / Flemington 3031,121,45.7,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,Melbourne 3000,363,34.6,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,Parkville 3052,96,46.9,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,18-24 years,417,28.6,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,25-34 years,473,33.2,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,35-44 years,238,45.4,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,45-54 years,122,52.6,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,Male,588,36.2,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,Kensington / Flemington 3031,121,44.2,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,18-24 years,417,46.7,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,45-54 years,122,20.9,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,Male,588,30.0,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,Carlton 3053,176,42.7,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,Kensington / Flemington 3031,121,14.4,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,18-24 years,409,33.8,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,25-34 years,468,21.5,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,45-54 years,122,16.0,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,Female,888,23.8,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,Male,584,18.5,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,Carlton 3053,171,27.7,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,East Melbourne 3002,91,4.8,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,South Wharf / Southbank 3006,166,14.5,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,45-54 years,120,7.2,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,Female,889,17.0,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,Male,581,14.9,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,Parkville 3052,96,14.3,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,18-24 years,401,22.2,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,25-34 years,467,11.6,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,55-64 years,118,6.2,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,65+ years,133,0.3,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,City of Melbourne,1484,13.1,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,East Melbourne 3002,91,3.6,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,Kensington / Flemington 3031,121,4.0,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,Parkville 3052,94,12.4,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,18-24 years,417,14.6,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,25-34 years,473,11.6,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,45-54 years,122,6.5,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,Female,897,10.2,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,Carlton 3053,176,15.0,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,Parkville 3052,96,12.3,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,East Melbourne 3002,90,91.7,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,Kensington / Flemington 3031,120,92.9,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,Melbourne 3000,361,81.3,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,South Wharf / Southbank 3006,169,92.6,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,Male,583,71.0,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,East Melbourne 3002,88,76.5,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,Kensington / Flemington 3031,121,68.4,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,18-24 years,409,82.0,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,25-34 years,455,77.7,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,35-44 years,216,79.9,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,45-54 years,108,82.5,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,65+ years,119,72.0,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,Female,841,78.0,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,Male,552,83.3,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,City of Melbourne,1415,80.4,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,Kensington / Flemington 3031,108,88.9,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,Parkville 3052,89,79.6,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,18-24 years,401,42.3,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,55-64 years,92,62.2,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,65+ years,73,60.0,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,Male,526,63.7,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,Carlton 3053,155,48.8,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,Kensington / Flemington 3031,100,57.2,Per cent
